datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration,strike,opt_type,S,iv,iv_pct
2026-03-11 01:25:00,97.0,224.5,226.0,215.5,223.5,136.0,2152.0,2147.0,CZCE.TA605C7200,300,7200,C,6090.0,0.7912162318632677,79.12162318632677
2026-03-11 01:25:00,98.0,245.5,247.5,239.5,247.5,45.0,1421.0,1397.0,CZCE.TA605C7000,300,7000,C,6090.0,0.7573058753471456,75.73058753471456
2026-03-11 01:25:00,98.0,1377.0,1377.0,1377.0,1377.0,0.0,189.0,189.0,CZCE.TA605P7300,300,7300,P,6090.0,0.7521698706664075,75.21698706664075
2026-03-11 01:25:00,98.0,210.0,219.0,205.5,215.0,92.0,10417.0,10464.0,CZCE.TA605C7300,300,7300,C,6090.0,0.8120806224701016,81.20806224701016
2026-03-11 01:25:00,98.0,235.5,236.0,228.0,234.5,56.0,815.0,817.0,CZCE.TA605C7100,300,7100,C,6090.0,0.7734295942149254,77.34295942149254
2026-03-11 01:25:00,96.0,1288.5,1288.5,1288.5,1288.5,0.0,137.0,137.0,CZCE.TA605P7200,300,7200,P,6090.0,0.7378905361618388,73.78905361618388
2026-03-11 01:25:00,98.0,1070.0,1070.0,1070.0,1070.0,0.0,215.0,215.0,CZCE.TA605P6900,300,6900,P,6090.0,0.7573379634991771,75.73379634991771
2026-03-11 01:25:00,98.0,274.5,275.0,268.5,272.5,72.0,1136.0,1150.0,CZCE.TA605C6800,300,6800,C,6090.0,0.7178700935251051,71.78700935251051
2026-03-11 01:25:00,35.0,1199.0,1199.0,1199.0,1199.0,0.0,35.0,35.0,CZCE.TA605P7100,300,7100,P,6090.0,0.720571352031742,72.0571352031742
2026-03-11 01:25:00,98.0,1190.5,1190.5,1190.5,1190.5,0.0,42.0,42.0,CZCE.TA605P7000,300,7000,P,6090.0,0.826983312294654,82.69833122946541
2026-03-11 01:30:00,96.0,943.5,943.5,943.5,943.5,0.0,345.0,345.0,CZCE.TA605P6800,300,6800,P,6102.0,0.6898800848206962,68.98800848206962
2026-03-11 01:30:00,99.0,215.0,215.0,205.0,206.0,135.0,10464.0,10455.0,CZCE.TA605C7300,300,7300,C,6102.0,0.7912464866707102,79.12464866707101
2026-03-11 01:30:00,99.0,1070.0,1070.0,1070.0,1070.0,0.0,215.0,215.0,CZCE.TA605P6900,300,6900,P,6102.0,0.7691920537765224,76.91920537765225
2026-03-11 01:30:00,99.0,234.5,234.5,231.0,234.0,137.0,817.0,844.0,CZCE.TA605C7100,300,7100,C,6102.0,0.766915381521764,76.69153815217639
2026-03-11 01:30:00,99.0,1377.0,1377.0,1377.0,1377.0,0.0,189.0,189.0,CZCE.TA605P7300,300,7300,P,6102.0,0.7676011896938824,76.76011896938823
2026-03-11 01:30:00,99.0,272.5,272.5,269.0,272.0,31.0,1150.0,1161.0,CZCE.TA605C6800,300,6800,C,6102.0,0.7109760622151681,71.09760622151681
2026-03-11 01:30:00,99.0,260.0,260.0,251.5,252.5,110.0,1440.0,1417.0,CZCE.TA605C6900,300,6900,C,6102.0,0.7212755521400787,72.12755521400787
2026-03-11 01:30:00,99.0,1190.5,1190.5,1190.5,1190.5,0.0,42.0,42.0,CZCE.TA605P7000,300,7000,P,6102.0,0.8388586146734917,83.88586146734916
2026-03-11 01:30:00,36.0,1199.0,1199.0,1199.0,1199.0,0.0,35.0,35.0,CZCE.TA605P7100,300,7100,P,6102.0,0.7345691476579519,73.45691476579519
